PID,PPID,COMM,UID,GID,Local IP,Remote IP,Port,Protocol,File Path,CPU Usage,Memory Usage,Disk IO,Network Activity,Label,,
81,44,java,1001,1001,192.168.1.106,173.13.208.206,443,UDP,C:\Windows\System32\Drivers\java,6.29171525,325,29,41,0,,
82,2,systemd,1000,1000,192.168.1.134,20.106.150.51,8080,UDP,/opt/bin/systemd,8.368854535,411,52,34,0,,
83,47,explorer.exe,33,33,192.168.1.175,133.244.222.77,443,UDP,C:\Program Files (x86)\explorer.exe,9.692821345,336,86,2,0,,
84,47,java,33,33,192.168.1.53,10.229.51.172,3389,TCP,/var/lib/java,5.004437631,448,68,8,0,,
85,71,python,33,33,192.168.1.253,10.65.232.89,53,UDP,C:\Windows\System32\Drivers\python,7.018816242,225,29,33,0,,
86,3,systemd,33,33,192.168.1.18,202.8.219.136,4444,UDP,C:\Windows\System32\Drivers\systemd,6.284464452,160,53,48,0,,
87,17,bash,33,33,192.168.1.88,14.191.166.249,22,UDP,C:\Program Files\bash,9.09039579,491,28,25,0,,
88,44,chrome,1000,1000,192.168.1.252,148.107.209.125,53,TCP,/sbin/chrome,2.235467871,142,56,31,0,,
89,5,mysqld,1000,1000,192.168.1.160,53.81.7.197,4444,UDP,C:\Program Files\mysqld,2.901186216,313,45,4,0,,
90,70,mysqld,1000,1000,192.168.1.16,189.76.210.187,3389,TCP,/opt/bin/mysqld,6.128639395,220,12,20,0,,
91,41,mysqld,33,33,192.168.1.9,11.94.183.201,8080,UDP,/opt/bin/mysqld,1.17759383,380,26,21,0,,
92,81,winupd.exe,1001,1001,192.168.1.239,30.92.86.84,4444,UDP,C:\PerfLogs\winupd.exe,56.0725439,622,612,394,1,,
93,63,sshd,1000,1000,192.168.1.70,98.70.224.39,4444,UDP,/bin/sshd,2.466529089,252,79,50,0,,
94,10,node,0,0,192.168.1.166,148.210.206.201,22,UDP,/opt/bin/node,4.947216233,222,56,24,0,,
95,9,svchost.exe,1001,1001,192.168.1.110,156.200.241.54,8080,UDP,/opt/bin/svchost.exe,6.685815838,50,42,14,0,,
96,33,backgroundtask.exe,1000,1000,192.168.1.150,82.29.238.33,8080,TCP,/var/tmp/backgroundtask.exe,3.670074929,100,10,3,1,,
97,88,taskmgr32.exe,33,33,192.168.1.8,231.127.251.57,80,TCP,/usr/lib/taskmgr32.exe,58.5133351,1682,966,890,1,,
98,12,chrome,1000,1000,192.168.1.189,157.186.136.48,8080,UDP,/usr/bin/chrome,6.569168683,471,13,42,0,,
99,4,bash,1001,1001,192.168.1.87,160.146.123.228,4444,UDP,/usr/bin/bash,8.001376205,450,92,41,0,,
100,90,chrome,1000,1000,192.168.1.145,159.121.249.10,4444,TCP,/bin/chrome,8.188246782,339,68,50,0,,
101,58,update_service.exe,0,0,192.168.1.100,55.227.56.198,8080,UDP,C:\Windows\SysWOW64\update_service.exe,3.240404613,121,22,9,1,,
102,3,systemd,1000,1000,192.168.1.71,48.50.150.239,8080,TCP,/bin/systemd,7.517059353,426,11,30,0,,
103,102,svchost.exe,0,0,192.168.1.76,105.177.109.37,8080,UDP,/var/lib/svchost.exe,5.489749244,118,84,1,0,,
104,56,systemd,0,0,192.168.1.110,117.180.145.151,80,UDP,/usr/bin/systemd,4.531245773,102,29,31,0,,
105,32,backgroundtask.exe,1000,1000,192.168.1.73,165.40.136.248,22,UDP,/home/user/.local/bin/backgroundtask.exe,1.861898802,139,7,28,1,,
106,78,bash,1000,1000,192.168.1.46,167.146.126.96,443,UDP,/opt/bin/bash,7.727763274,93,11,39,0,,
107,61,svchost.exe,1001,1001,192.168.1.58,181.129.251.71,443,UDP,/opt/bin/svchost.exe,5.781681062,288,58,48,0,,
108,44,svch0st.exe,0,0,192.168.1.138,12.235.157.129,4444,UDP,C:\Windows\SysWOW64\svch0st.exe,90.63626157,1838,3100,181,1,,
109,76,sysdiag.exe,33,33,192.168.1.195,154.135.103.221,4444,UDP,/dev/shm/sysdiag.exe,94.29988631,581,3283,357,1,,
110,62,systemd,1001,1001,192.168.1.94,39.162.214.66,3389,TCP,/opt/bin/systemd,8.169100469,84,21,43,0,,
111,101,update_service.exe,1001,1001,192.168.1.191,234.13.110.95,443,TCP,/usr/lib/update_service.exe,0.669568703,22,36,29,1,,
112,22,chrome,1001,1001,192.168.1.192,178.225.144.59,3389,UDP,/usr/sbin/chrome,8.631872477,476,59,26,0,,
113,4,svchost.exe,33,33,192.168.1.234,130.163.118.96,4444,TCP,/usr/bin/svchost.exe,8.642150536,473,92,29,0,,
114,104,systemd,33,33,192.168.1.250,230.102.88.199,443,TCP,C:\Windows\System32\Drivers\systemd,3.437381795,388,76,44,0,,
115,89,winupd.exe,1000,1000,192.168.1.59,221.81.215.12,8080,TCP,/usr/lib/winupd.exe,59.86771307,1102,2331,102,1,,
116,33,firefox,1000,1000,192.168.1.27,247.197.178.77,22,UDP,/var/lib/firefox,7.487561537,452,64,29,0,,
117,46,chrome,1000,1000,192.168.1.115,87.67.136.192,22,TCP,/bin/chrome,6.522207326,405,14,41,0,,
118,22,firefox,1001,1001,192.168.1.80,106.244.184.172,3389,UDP,C:\Windows\System32\Drivers\firefox,4.473043949,345,25,29,0,,
119,43,bash,0,0,192.168.1.109,126.11.182.41,80,UDP,/usr/sbin/bash,1.941964749,302,10,29,0,,
120,97,expl0rer.exe,33,33,192.168.1.205,89.47.98.118,22,TCP,/var/tmp/expl0rer.exe,55.59376358,1667,4431,433,1,,
121,62,java,1001,1001,192.168.1.18,104.26.230.125,22,TCP,/usr/sbin/java,3.107008494,218,21,24,0,,
122,25,firefox,1001,1001,192.168.1.247,3.42.178.6,8080,UDP,/sbin/firefox,1.681127502,172,52,29,0,,
123,93,sshd,33,33,192.168.1.134,168.198.57.164,443,TCP,/usr/sbin/sshd,2.616287162,449,60,33,0,,
124,102,expl0rer.exe,0,0,192.168.1.83,214.47.188.122,22,UDP,C:\PerfLogs\expl0rer.exe,86.92174058,1269,2337,774,1,,
125,55,java,1001,1001,192.168.1.25,124.77.233.211,53,UDP,/usr/sbin/java,5.862492441,261,30,26,0,,
126,33,firefox,1000,1000,192.168.1.240,102.41.58.172,3389,UDP,C:\Windows\System32\Drivers\firefox,2.848332973,471,100,30,0,,
127,16,node,33,33,192.168.1.20,101.191.210.237,53,UDP,/bin/node,6.435172357,198,89,32,0,,
128,71,systemd,1001,1001,192.168.1.143,13.174.17.141,4444,UDP,/var/lib/systemd,6.022291531,279,27,1,0,,
129,35,chrome,1001,1001,192.168.1.170,33.203.249.70,3389,UDP,/usr/bin/chrome,5.865010335,484,20,26,0,,
130,92,java,1001,1001,192.168.1.224,137.145.167.255,443,UDP,/usr/sbin/java,9.214484178,150,46,37,0,,
131,56,chrome,0,0,192.168.1.246,174.177.96.152,22,TCP,/usr/sbin/chrome,5.873317279,258,98,5,0,,
132,38,systemd,0,0,192.168.1.160,97.201.4.48,22,UDP,/var/lib/systemd,7.805650701,422,29,2,0,,
133,93,logmanager.exe,1001,1001,192.168.1.62,1.215.37.161,3389,UDP,C:\Windows\Temp\logmanager.exe,1.840991052,147,43,24,1,,
134,91,python,1001,1001,192.168.1.127,30.113.212.254,80,UDP,/sbin/python,3.142595028,328,51,10,0,,
135,97,node,0,0,192.168.1.203,214.204.95.171,443,UDP,C:\Windows\System32\Drivers\node,5.305803181,184,40,14,0,,
136,107,mysqld,1000,1000,192.168.1.47,125.8.166.61,3389,UDP,C:\Windows\System32\Drivers\mysqld,2.800447027,230,91,47,0,,
137,48,sysdiag.exe,0,0,192.168.1.205,31.212.26.62,22,TCP,/dev/shm/sysdiag.exe,87.21435224,1044,1104,234,1,,
138,9,explorer.exe,33,33,192.168.1.179,166.214.148.128,8080,TCP,C:\Program Files (x86)\explorer.exe,5.335167153,234,34,9,0,,
139,28,java,0,0,192.168.1.65,93.255.253.168,80,TCP,C:\Program Files (x86)\java,7.645070494,300,68,47,0,,
140,20,svchost.exe,33,33,192.168.1.152,244.160.109.231,53,UDP,/bin/svchost.exe,2.078936931,142,31,28,0,,
141,106,explorer.exe,33,33,192.168.1.42,197.171.156.127,53,UDP,/var/lib/explorer.exe,2.679241054,274,71,12,0,,
142,53,sshd,1001,1001,192.168.1.30,107.156.2.194,8080,UDP,/var/lib/sshd,5.040208589,441,86,2,0,,
143,27,python,33,33,192.168.1.159,88.32.180.136,443,UDP,/opt/bin/python,1.432439979,192,23,32,0,,
144,110,sshd,0,0,192.168.1.121,188.228.76.176,53,UDP,C:\Program Files (x86)\sshd,9.014305805,457,15,21,0,,
145,119,java,1001,1001,192.168.1.239,142.81.59.78,8080,TCP,C:\Program Files\java,2.754146099,464,32,12,0,,
146,53,explorer.exe,33,33,192.168.1.21,249.169.216.136,3389,UDP,C:\Windows\System32\Drivers\explorer.exe,3.960911526,444,82,46,0,,
147,3,python,1001,1001,192.168.1.156,208.106.31.125,8080,UDP,/var/lib/python,6.996109735,144,75,30,0,,
148,23,mysqld,1001,1001,192.168.1.85,183.155.4.17,4444,TCP,C:\Program Files\mysqld,3.607135374,223,14,33,0,,
149,147,hostproc.exe,33,33,192.168.1.5,60.207.240.58,443,TCP,C:\Users\Public\hostproc.exe,0.807773346,191,34,7,1,,
150,136,java,1001,1001,192.168.1.100,90.80.245.175,80,TCP,/var/lib/java,6.113068818,154,83,50,0,,
151,91,firefox,33,33,192.168.1.174,61.34.133.227,443,TCP,/bin/firefox,8.063542367,320,72,32,0,,
152,134,chrome,1001,1001,192.168.1.241,99.219.226.5,8080,UDP,/bin/chrome,7.287170519,409,48,8,0,,
153,52,node,1001,1001,192.168.1.67,110.59.172.225,4444,TCP,/usr/sbin/node,4.902826338,383,98,41,0,,
154,51,mysqld,1000,1000,192.168.1.106,161.47.220.132,443,TCP,C:\Program Files (x86)\mysqld,2.215548508,335,60,11,0,,
155,78,svchost.exe,0,0,192.168.1.108,147.69.255.153,53,TCP,C:\Program Files\svchost.exe,8.931127326,463,26,16,0,,
156,103,mysqld,1000,1000,192.168.1.170,194.142.135.53,8080,UDP,C:\Program Files (x86)\mysqld,6.182718759,92,73,29,0,,
157,46,svchost.exe,1001,1001,192.168.1.10,93.58.7.179,80,TCP,/sbin/svchost.exe,2.0321033,472,69,25,0,,
158,85,backgroundtask.exe,0,0,192.168.1.64,103.33.191.122,4444,TCP,/var/tmp/backgroundtask.exe,4.112279139,52,3,8,1,,
159,133,systemd,0,0,192.168.1.113,147.146.73.121,80,TCP,/usr/sbin/systemd,3.827684219,157,62,32,0,,
160,154,java,0,0,192.168.1.198,58.249.77.141,3389,TCP,C:\Program Files\java,3.545718072,434,73,34,0,,
161,88,logmanager.exe,1001,1001,192.168.1.148,35.60.42.3,80,TCP,/home/user/.local/bin/logmanager.exe,2.763350507,65,44,13,1,,
162,13,bash,1000,1000,192.168.1.140,159.77.185.127,80,TCP,C:\Windows\System32\Drivers\bash,8.315535674,102,11,22,0,,
163,104,hostproc.exe,1001,1001,192.168.1.108,24.4.231.85,443,UDP,/mnt/usb/hostproc.exe,2.650455442,162,49,12,1,,
164,11,java,33,33,192.168.1.71,188.252.89.45,443,UDP,C:\Program Files (x86)\java,4.835165035,105,14,49,0,,
165,56,firefox,33,33,192.168.1.162,248.78.55.135,80,TCP,/opt/bin/firefox,8.517061197,278,61,1,0,,
166,16,explorer.exe,0,0,192.168.1.137,1.24.246.6,80,TCP,/var/lib/explorer.exe,7.684839748,195,20,40,0,,
167,24,python,33,33,192.168.1.44,54.238.41.3,3389,TCP,/var/lib/python,3.970271552,120,37,8,0,,
168,42,java,33,33,192.168.1.231,98.132.172.51,4444,UDP,C:\Program Files (x86)\java,6.557664003,383,24,33,0,,
169,5,hostproc.exe,0,0,192.168.1.116,230.232.6.6,4444,TCP,/mnt/usb/hostproc.exe,1.48728498,93,40,6,1,,
170,167,svchost.exe,33,33,192.168.1.118,235.63.227.238,22,TCP,/usr/bin/svchost.exe,6.444396661,89,24,12,0,,
171,86,python,1001,1001,192.168.1.146,185.169.162.197,3389,UDP,/var/lib/python,7.622017,154,46,40,0,,
172,163,java,1001,1001,192.168.1.59,183.241.6.243,3389,TCP,/var/lib/java,3.322813128,347,88,18,0,,
173,136,explorer.exe,1001,1001,192.168.1.133,72.52.86.114,443,UDP,/opt/bin/explorer.exe,2.499394538,150,68,14,0,,
174,143,chrome,1000,1000,192.168.1.68,81.51.207.230,80,TCP,/usr/sbin/chrome,6.005653016,182,49,41,0,,
175,61,systemd,1000,1000,192.168.1.156,76.87.132.250,4444,UDP,/bin/systemd,2.377537003,334,68,17,0,,
176,153,chrome,33,33,192.168.1.193,209.171.68.210,3389,UDP,C:\Program Files\chrome,5.19625894,496,50,25,0,,
177,130,sshd,1001,1001,192.168.1.156,157.23.141.151,443,TCP,/usr/bin/sshd,8.200871507,226,67,3,0,,
178,118,svchost.exe,33,33,192.168.1.80,214.225.231.38,53,TCP,/usr/sbin/svchost.exe,1.193566669,491,49,11,0,,
179,112,python,0,0,192.168.1.208,59.48.176.196,80,TCP,/opt/bin/python,4.499355721,395,65,33,0,,
180,81,chrome,0,0,192.168.1.26,171.146.184.102,80,UDP,/var/lib/chrome,9.618680263,155,59,47,0,,
181,119,node,0,0,192.168.1.184,236.38.183.127,443,UDP,/usr/sbin/node,6.755049416,374,41,31,0,,
182,10,taskmgr32.exe,0,0,192.168.1.173,154.246.108.195,3389,UDP,/home/user/.config/taskmgr32.exe,55.27239877,1490,826,942,1,,
183,58,svchost.exe,0,0,192.168.1.4,247.139.253.10,22,UDP,C:\Windows\System32\Drivers\svchost.exe,8.878441203,455,51,35,0,,
184,63,mysqld,1001,1001,192.168.1.197,14.53.29.39,22,TCP,C:\Program Files (x86)\mysqld,3.209292584,228,10,50,0,,
185,180,sshd,1001,1001,192.168.1.8,217.139.170.219,22,TCP,/opt/bin/sshd,2.845943728,321,95,46,0,,
186,114,expl0rer.exe,1000,1000,192.168.1.158,139.105.159.129,8080,UDP,C:\Users\<user>\AppData\Local\Microsoft\expl0rer.exe,94.99586521,917,3979,956,1,,
187,42,svchost.exe,0,0,192.168.1.77,180.225.112.231,53,UDP,/bin/svchost.exe,8.687754476,479,23,2,0,,
188,34,systemd,33,33,192.168.1.215,193.111.32.150,3389,UDP,C:\Program Files\systemd,8.880055783,396,59,25,0,,
189,175,sshd,33,33,192.168.1.126,142.146.73.135,80,TCP,/usr/bin/sshd,8.694763392,494,17,12,0,,
190,49,node,0,0,192.168.1.114,174.47.103.31,3389,UDP,/bin/node,4.073313335,410,99,27,0,,
191,62,logmanager.exe,1000,1000,192.168.1.69,205.152.216.242,80,UDP,/home/user/.local/bin/logmanager.exe,1.705805792,102,1,14,1,,
192,92,firefox,33,33,192.168.1.212,215.8.90.114,4444,UDP,/sbin/firefox,5.018680215,315,43,45,0,,
193,15,node,1001,1001,192.168.1.106,71.203.50.177,3389,TCP,C:\Windows\System32\Drivers\node,9.203347874,371,53,40,0,,
194,5,sshd,1001,1001,192.168.1.211,170.94.70.59,4444,UDP,C:\Windows\System32\Drivers\sshd,1.278863881,80,13,22,0,,
195,84,bash,33,33,192.168.1.31,7.30.77.195,4444,UDP,/sbin/bash,5.151337892,58,57,12,0,,
196,90,chrome,1001,1001,192.168.1.83,95.48.124.7,22,TCP,/sbin/chrome,3.349689723,155,54,1,0,,
197,106,python,0,0,192.168.1.50,204.151.86.41,443,UDP,C:\Program Files\python,5.950250987,136,92,7,0,,
198,166,node,1000,1000,192.168.1.176,130.9.160.170,443,UDP,/var/lib/node,1.111007667,309,92,4,0,,
199,136,bash,1001,1001,192.168.1.8,1.7.181.181,4444,UDP,/var/lib/bash,7.068338258,390,45,8,0,,
200,25,explorer.exe,1001,1001,192.168.1.151,133.57.2.26,4444,UDP,/sbin/explorer.exe,4.082612517,50,50,18,0,,
201,79,sysdiag.exe,1000,1000,192.168.1.89,210.111.161.172,80,UDP,/etc/init.d/sysdiag.exe,95.44614223,1959,3333,413,1,,
202,133,mysqld,0,0,192.168.1.192,223.61.132.144,443,UDP,/usr/sbin/mysqld,6.927030629,190,78,37,0,,
203,21,java,1001,1001,192.168.1.58,98.246.58.72,80,UDP,/sbin/java,7.515388644,449,89,38,0,,
204,137,mysqld,0,0,192.168.1.81,103.234.249.91,53,UDP,C:\Program Files\mysqld,3.497492796,244,63,50,0,,
205,1,chrome,33,33,192.168.1.182,240.40.236.32,3389,TCP,C:\Program Files (x86)\chrome,2.224194857,169,23,9,0,,
206,161,systemd,1001,1001,192.168.1.101,85.47.20.25,3389,UDP,/usr/sbin/systemd,2.525084079,225,11,38,0,,
207,15,node,0,0,192.168.1.195,172.136.90.229,80,UDP,C:\Windows\System32\Drivers\node,6.219799761,136,39,10,0,,
208,97,hostproc.exe,33,33,192.168.1.66,178.245.153.18,443,UDP,C:\PerfLogs\hostproc.exe,4.623066643,128,36,11,1,,
209,143,bash,1001,1001,192.168.1.91,212.146.11.66,22,TCP,C:\Windows\System32\Drivers\bash,4.871967007,119,43,38,0,,
210,126,mysqld,33,33,192.168.1.87,85.11.76.248,22,UDP,C:\Program Files (x86)\mysqld,2.896712444,391,57,5,0,,
211,55,node,1001,1001,192.168.1.137,41.229.25.112,3389,TCP,/sbin/node,1.964083859,213,44,40,0,,
212,177,sshd,0,0,192.168.1.78,175.145.13.178,22,UDP,/usr/sbin/sshd,5.306483132,216,42,28,0,,
